Season,Date,Team Name,Opponent,Location,Outcome (from dataset),Computed Result,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,Points For,Points Against,Hammer Ends,No-Hammer Ends,Steals For,Steals Against
2024-2025,11/15/2024,Womens Mix,Soup with Rice,Coyotes Curling Club,Loss,L,B,Yellow,Bonspiel,8,7.0,3,9,3,4,2,2
2024-2025,11/16/2024,Womens Mix,Pour Decisions,Coyotes Curling Club,Loss,L,B,Red,Bonspiel,8,7.0,5,9,5,2,0,3
2024-2025,11/16/2024,Womens Mix,Team Reid,Coyotes Curling Club,Win,W,B,Yellow,Bonspiel,8,6.0,12,4,3,3,1,0
2024-2025,11/17/2024,Womens Mix,"Fiesta, Siesta, Tequila, Repeat",Coyotes Curling Club,Loss,L,B,Yellow,Bonspiel,8,9.0,5,6,4,5,2,2
2024-2025,12/5/2024,Womens Mix,Marcantano,Denver Curling Club,Win,W,D,Yellow,Bonspiel,8,6.0,10,1,2,4,3,0
2024-2025,12/7/2024,Womens Mix,Bucci,Denver Curling Club,Win,W,B,Yellow,Bonspiel,8,9.0,7,6,4,5,1,1
2024-2025,12/7/2024,Womens Mix,Mechenbrier,Denver Curling Club,Loss,L,D,Yellow,Bonspiel,8,6.0,5,9,4,2,0,1
2024-2025,12/13/2024,Womens Mix,Smith,Rock Creek Curling,Win,W,F,Green,Playdowns,8,8.0,6,4,4,4,1,1
2024-2025,12/13/2024,Womens Mix,Bradshaw,Rock Creek Curling,Win,W,D,Green,Playdowns,8,6.0,11,4,4,2,0,1
2024-2025,12/14/2024,Womens Mix,Stavely,Rock Creek Curling,Win,W,B,Green,Playdowns,8,6.0,6,2,2,4,2,0
2024-2025,12/14/2024,Womens Mix,Henning,Rock Creek Curling,Win,W,E,Yellow,Playdowns,8,8.0,9,5,5,3,1,1
2024-2025,12/14/2024,Womens Mix,Segovia,Rock Creek Curling,Win,W,C,Yellow,Playdowns,8,7.0,7,3,3,4,2,1
2024-2025,12/15/2024,Womens Mix,Segovia,Rock Creek Curling,Loss,L,D,Green,Playdowns,8,7.0,1,4,2,5,0,1
2024-2025,12/15/2024,Womens Mix,Segovia,Rock Creek Curling,Loss,L,C,Green,Playdowns,8,8.0,8,9,4,4,1,1
2025-2026,10/7/2025,Womens Mix,Rose Sr,Denver Curling Club,Loss,L,B,Red,Competitive League,8,8.0,4,7,5,3,0,1
2025-2026,10/14/2025,Womens Mix,Clark,Denver Curling Club,Loss,L,C,Red,Competitive League,8,7.0,3,5,4,3,1,2
2025-2026,10/21/2025,Womens Mix,Bata,Denver Curling Club,,T,D,,Competitive League,8,,0,0,0,0,0,0
2025-2026,10/28/2025,Womens Mix,Wishart,Denver Curling Club,,T,A,,Competitive League,8,,0,0,0,0,0,0
2025-2026,11/4/2025,Womens Mix,Davis,Denver Curling Club,,T,D,,Competitive League,8,,0,0,0,0,0,0
2025-2026,11/11/2025,Womens Mix,Kizlyk,Denver Curling Club,,T,A,,Competitive League,8,,0,0,0,0,0,0
2025-2026,11/18/2025,Womens Mix,Lewis,Denver Curling Club,,T,C,,Competitive League,8,,0,0,0,0,0,0
