team,games_played,record.wins,record.losses,record.ties,points.for,points.against,points.diff,hammer.ends,hammer.scoring_rate,hammer.two_plus_rate,hammer.blank_rate,no_hammer.ends,no_hammer.steal_rate,no_hammer.force_rate,no_hammer.defense_leq_one_rate,seasons,points.avg_for_per_game,points.avg_against_per_game,hammer.scoring_ends,hammer.two_plus_ends,hammer.blank_ends,hammer.steals_allowed,no_hammer.steals_for,no_hammer.force_exactly_one_ends,no_hammer.defense_leq_one_ends
Cashspiel Babes,8,1,7,0,29,50,-21,31,0.419,0.194,0.065,27,0.259,0.407,0.704,['2024-2025'],3.625,6.25,13,6,2,16,7,11,19
Knuckleheads,7,5,2,0,68,34,34,22,0.591,0.318,0.0,25,0.56,0.16,0.76,['2023-2024'],9.714,4.857,13,7,0,9,14,4,19
Mixed Chaos,7,2,5,0,25,44,-19,27,0.444,0.074,0.037,18,0.333,0.5,0.833,['2023-2024'],3.571,6.286,12,2,1,14,6,9,15
Mixed Dreams,4,3,1,0,31,13,18,12,0.667,0.25,0.083,16,0.625,0.188,0.812,['2023-2024'],7.75,3.25,8,3,1,3,10,3,13
Monday Fam,25,17,7,1,175,101,74,71,0.746,0.394,0.014,93,0.43,0.323,0.806,"['2023-2024', '2024-2025']",7.0,4.04,53,28,1,17,40,30,75
Monday_Hijinks,21,16,4,1,180,76,104,61,0.672,0.41,0.033,80,0.562,0.263,0.863,['2023-2024'],8.571,3.619,41,25,2,18,45,21,69
Monsters,4,4,0,0,29,13,16,14,0.571,0.357,0.0,13,0.538,0.308,0.923,['2023-2024'],7.25,3.25,8,5,0,6,7,4,12
Raccoons,15,11,3,1,100,72,28,57,0.561,0.316,0.088,57,0.368,0.368,0.825,['2023-2024'],6.667,4.8,32,18,5,20,21,21,47
Rocky Mtn Lobstaaas,4,4,0,0,30,11,19,6,0.667,0.167,0.0,18,0.667,0.167,0.889,['2024-2025'],7.5,2.75,4,1,0,2,12,3,16
Subbing,64,41,21,2,475,334,141,201,0.677,0.378,0.01,260,0.462,0.285,0.754,"['2023-2024', '2024-2025']",7.422,5.219,136,76,2,63,120,74,196
Thursday Women,7,6,1,0,45,27,18,24,0.583,0.375,0.083,21,0.381,0.571,0.952,['2024-2025'],6.429,3.857,14,9,2,8,8,12,20
Thursday_Rookies,17,8,9,0,110,97,13,46,0.609,0.283,0.0,73,0.534,0.151,0.712,['2023-2024'],6.471,5.706,28,13,0,18,39,11,52
Thursday_Sobering,5,3,2,0,42,28,14,13,0.769,0.462,0.0,21,0.476,0.238,0.714,['2024-2025'],8.4,5.6,10,6,0,3,10,5,15
Tuesday_Sobering,17,8,7,2,104,87,17,56,0.571,0.232,0.018,62,0.452,0.29,0.774,['2024-2025'],6.118,5.118,32,13,1,23,28,18,48
Womens Mix,14,8,6,0,95,75,20,49,0.673,0.367,0.02,51,0.314,0.373,0.745,['2024-2025'],6.786,5.357,33,18,1,15,16,19,38
